Ion	Align	Lambda	ID	Cusp	CIns	BG	BGIns	WillSP	WilldSP	ModelB	ModelH	ModelQ	ModelR	ModelS	ModelT	ModelU	ModelV
He_1	auto	6678	He1	Nan	Nan	Nan	Nan	Nan	Nan	3.79959	3.74224	3.74224	3.72001	3.72345	3.72673	3.69841	3.72637
N__2	auto	5755	N2	2.32	1.16	0.470	0.049	2.9987	0.15105	3.01084	2.4881	2.4881	4.22312	3.35055	3.16779	3.21966	3.20769
N__2	auto	6584	N2	72.1	6.2	31.7	1.4	87.342	12.799	81.9906	57.3202	57.3202	98.3745	77.1296	75.2049	74.1187	74.2656
Ne_2	auto	1281	Ne2	Nan	Nan	Nan	Nan	Nan	Nan	66.2806	34.6737	34.6737	34.4808	48.2849	88.7552	88.1938	88.232
Ne_3	auto	1555	Ne3	Nan	Nan	Nan	Nan	Nan	Nan	11.4673	6.26412	6.26412	6.17245	8.60698	15.5323	15.3214	15.6529
Ne_3	auto	3869	Ne3	Nan	Nan	Nan	Nan	Nan	Nan	4.82222	3.82028	3.82028	3.71144	5.16112	8.75299	8.42634	8.83973
Ne_3	auto	3967	Ne3	Nan	Nan	Nan	Nan	2.7340	0.61035	1.47008	Nan	Nan	1.11857	1.5555	2.63805	2.5396	2.66418
O_2r	auto	4651	O2	Nan	Nan	Nan	Nan	Nan	Nan	0.127801	0.122449	0.122449	0.120808	0.121138	0.121503	0.121219	0.122701
O__1	auto	5577	O1	Nan	Nan	0.495	0.116	0.21401	0.063945	0.171648	0.205105	0.205105	0.21336	0.217081	0.208399	0.214825	0.210371
O__1	auto	6300	O1	2.82	2.08	0.535	0.128	3.6337	0.18304	10.6263	12.0073	12.0073	12.3403	12.4888	12.2706	12.1799	11.8188
O__3	auto	4959	O3	55.2	9.4	117.5	3.6	58.395	23.264	44.8295	61.2248	61.2248	59.7767	59.7153	56.5113	54.9601	57.0258
O__3	auto	5007	O3	Nan	Nan	Nan	Nan	Nan	Nan	134.936	184.289	184.289	179.928	179.744	170.101	165.429	171.649
O_II	auto	2471	O2	Nan	Nan	Nan	Nan	Nan	Nan	29.1874	45.6192	45.6192	43.2299	44.3547	41.4147	41.573	41.7468
O_II	auto	3726	O2	89.0	17.9	73.3	8.0	45.520	30.486	55.842	77.5696	77.5696	74.4764	75.4036	71.9257	69.7335	70.7772
O_II	auto	3729	O2	Nan	Nan	Nan	Nan	Nan	Nan	22.5454	31.3784	31.3784	30.1405	30.4973	29.0786	28.1407	28.5835
O_II	auto	7323	O2	Nan	Nan	Nan	Nan	Nan	Nan	20.5862	32.1773	32.1773	30.4922	31.2847	29.2113	29.3227	29.4468
O_II	auto	7332	O2	Nan	Nan	Nan	Nan	Nan	Nan	16.6961	26.0971	26.0971	24.7298	25.373	23.6912	23.7817	23.8822
S__3	auto	6312	S3	1.36	0.39	1.74	0.46	1.6666	0.28048	3.37258	1.69411	1.69411	1.62708	1.64022	1.55367	1.53391	1.5603
S_II	auto	4070	S2	4.45	0.47	0.875	0.056	5.5397	0.46297	27.1468	11.6068	11.6068	11.4653	11.5785	11.1577	11.2473	11.1395
S_II	auto	4078	S2	Nan	Nan	Nan	Nan	Nan	Nan	8.78097	3.75763	3.75763	3.70864	3.74519	3.61034	3.63424	3.601
S_II	auto	6716	S2	1.82	0.32	2.44	0.6	2.5279	1.0158	4.82129	2.08534	2.08534	1.9808	1.99408	1.97765	1.84544	1.81579
S_II	auto	6731	S2	4.00	0.67	3.63	0.88	4.3762	1.7285	10.7789	4.62956	4.62956	4.4075	4.43845	4.39801	4.12285	4.06321
TOTL	auto	2326	X	Nan	Nan	Nan	Nan	Nan	Nan	37.5273	68.6411	68.6411	65.171	67.0488	62.7901	63.6238	63.2597
TOTL	auto	4363	O3	0.796	0.181	1.16	0.03	0.90931	0.15615	0.48776	0.937923	0.937923	0.899833	0.900246	0.80822	0.774563	0.817001
TOTL	auto	5199	N1	Nan	Nan	Nan	Nan	0.20178	0.0693	0.100086	0.102281	0.102281	0.152844	0.122019	0.126772	0.0974541	0.0847479
TOTL	auto	6580	X	Nan	Nan	Nan	Nan	Nan	Nan	0.0120239	Nan	Nan	0.0144928	0.0145375	0.0144469	0.0142917	0.0144834
H__1	auto	4861	H1	Nan	Nan	Nan	Nan	Nan	Nan	1.868	1.821	1.821	1.831	1.828	1.849	1.916	1.898
